date,sockeye_10,sockeye_60,Chinook_10,Chinook_60,pink_10,pink_60,coho_10,coho_60,chum_10,chum_60,dolly-varden_10,dolly-varden_60,total_10,total_60,proportion_of_files_available,method
8/12/2017,1582,1874, -   , -   ,1406,1665, -   , -   , -   , -   , -   , -   ,2988,3539,100%,sonar
8/13/2017,2341,2490, -   , -   ,2081,2213, -   , -   , -   , -   , -   , -   ,4422,4703,81%,sonar
8/14/2017,4320,3797, -   , -   ,3840,3375, -   , -   , -   , -   , -   , -   ,8160,7172,100%,sonar
8/15/2017,2392,2560, -   , -   ,2126,2276, -   , -   , -   , -   , -   , -   ,4518,4836,100%,sonar
8/16/2017,2487,2929, -   , -   ,2211,2604, -   , -   , -   , -   , -   , -   ,4698,5533,100%,sonar
8/17/2017,2464,2746, -   , -   ,5330,5938, -   , -   , -   , -   , -   , -   ,7794,8684,100%,sonar
8/18/2017,641,629, -   , -   ,5587,5484, -   , -   , -   , -   , -   , -   ,6228,6113,90%,sonar
8/19/2017,2439,2557, -   , -   ,6293,6598,52,55, -   , -   , -   , -   ,8784,9210,100%,sonar
8/20/2017,4943,4984, -   , -   ,5853,5902,130,131, -   , -   , -   , -   ,10926,11017,100%,sonar
8/21/2017,5534,5131, -   , -   ,9852,9134,322,299, -   , -   , -   , -   ,15708,14564,100%,sonar
8/22/2017,2665,3256, -   , -   ,7593,9277,308,376, -   , -   , -   , -   ,10566,12909,100%,sonar
8/23/2017,2999,2847, -   , -   ,5519,5239,368,349, -   , -   , -   , -   ,8886,8436,100%,sonar
8/24/2017,4988,4175, -   , -   ,6175,5169,633,530, -   , -   , -   , -   ,11796,9875,100%,sonar
8/25/2017,2770,2717, -   , -   ,5466,5361,866,849, -   , -   , -   , -   ,9102,8927,100%,sonar
8/26/2017,1471,1805, -   , -   ,5367,6584,1082,1327, -   , -   , -   , -   ,7920,9716,100%,sonar
8/27/2017,1515,1594, -   , -   ,2739,2882,1398,1471, -   , -   , -   , -   ,5652,5947,100%,sonar
8/28/2017,1021,1208, -   , -   ,3244,3840,991,1173, -   , -   , -   , -   ,5256,6221,100%,sonar
8/29/2017,1575,1419, -   , -   ,9815,8839,1696,1528, -   , -   , -   , -   ,13086,11785,100%,sonar
8/30/2017,2307,2285, -   , -   ,12142,12023,3611,3576, -   , -   , -   , -   ,18060,17884,100%,sonar
8/31/2017,1968,1704, -   , -   ,8658,7498,3936,3408, -   , -   , -   , -   ,14562,12610,83%,sonar
9/1/2017,1587,1572, -   , -   ,5564,5511,3703,3667, -   , -   , -   , -   ,10854,10749,66%,sonar
9/2/2017,1897,2136, -   , -   ,5194,5847,4969,5593, -   , -   , -   , -   ,12060,13576,100%,sonar
9/3/2017,7092,6287, -   , -   ,13593,12050,14553,12902, -   , -   , -   , -   ,35238,31239,100%,sonar
9/4/2017,3372,3312, -   , -   ,4686,4602,5694,5592, -   , -   , -   , -   ,13752,13506,100%,sonar
9/5/2017,5856,6131, -   , -   ,1281,1341,7503,7855, -   , -   , -   , -   ,14640,15327,100%,sonar
9/6/2017,3640,3838, -   , -   ,1675,1766,6949,7326, -   , -   , -   , -   ,12264,12930,100%,sonar
8/20/2016,1661,1993, -   , -   ,7,3,60,48,6,3,36,23,1770,2070,,weir
8/21/2016,2032,2319, -   ,1, -   ,1,36,52, -   , -   ,18,14,2086,2387,,weir
8/22/2016,2091,2496, -   ,2,12,14,73,102,6,4,18,6,2200,2624,,weir
8/23/2016,1814,1617, -   , -   , -   , -   ,114,86, -   , -   ,66, -   ,1994,1703,,weir
8/24/2016,2376,2334, -   ,1,6,10,144,154, -   ,3,30,28,2556,2530,,weir
8/25/2016,2137,2457, -   ,1, -   ,6,164,242,6,3,78,47,2385,2756,,weir
8/26/2016,2956,2941, -   , -   , -   ,6,222,192, -   ,4,36,93,3214,3236,,weir
8/27/2016,3491,3676, -   ,2, -   ,5,446,354, -   ,9,30,26,3967,4072,,weir
8/28/2016,1869,2180, -   , -   , -   ,5,444,332, -   ,5,24,23,2337,2545,,weir
8/29/2016,1825,1501, -   ,1, -   ,4,248,187,12,6,12,3,2097,1702,,weir
8/30/2016,1180,1552, -   ,1, -   ,12,319,249,6,3,6,18,1511,1835,,weir
8/31/2016,3258,3332, -   ,1, -   ,11,504,738,6,11,18,67,3786,4160,,weir
9/1/2016,2607,2425, -   , -   , -   ,5,391,572, -   ,3,19,59,3017,3064,,weir
9/2/2016,2946,2421, -   , -   , -   , -   ,702,788, -   ,3,12,18,3660,3230,,weir
9/3/2016,3643,3648, -   , -   , -   ,4,891,1276, -   ,11,30,8,4564,4947,,weir
9/4/2016,1785,2638, -   , -   , -   ,4,672,1026,12,7,12,13,2481,3688,,weir
9/5/2016,3099,2881, -   , -   ,12,2,1095,1258,6,10,6,12,4218,4163,,weir
9/6/2016,3600,3700, -   , -   ,18,3,1073,1375,6,18, -   ,7,4697,5103,,weir
9/7/2016,2989,2559, -   , -   , -   , -   ,1352,1181, -   ,9,6,9,4347,3758,,weir
9/8/2016,2507,2826, -   , -   , -   , -   ,978,1035,6,17,18,16,3509,3894,,weir
9/9/2016,780,1044, -   , -   , -   , -   ,429,581,12,15, -   ,2,1221,1642,,weir
9/10/2016,2872,2544, -   , -   , -   ,6,955,779, -   ,7, -   ,2,3827,3338,,weir
9/11/2016,3001,2565, -   ,1, -   ,3,1159,1183, -   ,4, -   ,17,4160,3773,,weir
9/12/2016,1800,1407, -   , -   , -   , -   ,1632,796, -   ,3,6,3,3438,2209,,weir
8/20/2016,2729,3007, -   , -   , -   , -   ,99,109, -   , -   ,59,65,2898,3193,81%,sonar
8/21/2016,5663,4364, -   , -   , -   , -   ,100,77, -   , -   ,50,39,5814,4480,100%,sonar
8/22/2016,3305,3423, -   , -   , -   , -   ,115,120, -   , -   ,28,29,3468,3592,90%,sonar
8/23/2016,3291,2988, -   , -   , -   , -   ,207,188, -   , -   ,120,109,3618,3284,100%,sonar
8/24/2016,3993,4195, -   , -   , -   , -   ,242,254, -   , -   ,50,53,4296,4513,100%,sonar
8/25/2016,3960,3202, -   , -   , -   , -   ,240,194, -   , -   ,50,40,4260,3445,83%,sonar
8/26/2016,3393,4538, -   , -   , -   , -   ,231,309, -   , -   , -   , -   ,3624,4847,100%,sonar
8/27/2016,4204,3911, -   , -   , -   , -   ,287,267, -   , -   , -   , -   ,4491,4178,100%,sonar
8/28/2016,3314,3867, -   , -   , -   , -   ,226,264, -   , -   , -   , -   ,3540,4131,100%,sonar
8/29/2016,2156,2409, -   , -   , -   , -   ,469,524, -   , -   ,94,105,2718,3037,100%,sonar
8/30/2016,2333,2349, -   , -   , -   , -   ,670,675, -   , -   ,75,75,3099,3121,100%,sonar
8/31/2016,2911,2930, -   , -   , -   , -   ,1063,1071, -   , -   ,56,56,4086,4113,100%,sonar
9/1/2016,1866,2685, -   , -   , -   , -   ,555,798, -   , -   ,17,24,2454,3532,100%,sonar
9/2/2016,2953,3286, -   , -   , -   , -   ,701,780, -   , -   , -   , -   ,3654,4066,100%,sonar
9/3/2016,2624,3081, -   , -   , -   , -   ,991,1164, -   , -   ,112,131,3726,4376,97%,sonar
9/4/2016,2779,2676, -   , -   , -   , -   ,1575,1516, -   , -   ,278,268,4632,4460,83%,sonar
9/5/2016,2225,2141, -   , -   , -   , -   ,1097,1055, -   , -   ,138,133,3459,3329,91%,sonar
9/6/2016,3393,3962, -   , -   , -   , -   ,1454,1698, -   , -   ,97,113,4944,5773,100%,sonar
9/7/2016,2284,2890, -   , -   , -   , -   ,881,1114, -   , -   ,32,40,3237,4095,94%,sonar
9/8/2016,2542,2736, -   , -   , -   , -   ,980,1055, -   , -   ,35,38,3603,3877,85%,sonar
9/9/2016,1931,1594, -   , -   , -   , -   ,666,550, -   , -   , -   , -   ,2664,2198,100%,sonar
9/10/2016,1985,1876, -   , -   , -   , -   ,1297,1226, -   , -   ,37,35,3360,3176,98%,sonar
9/11/2016,1363,1390, -   , -   , -   , -   ,1557,1588, -   , -   ,65,66,2985,3044,98%,sonar
9/12/2016,1238,3546, -   , -   , -   , -   ,1254,1567, -   , -   ,66,82,4158,5196,100%,sonar
9/13/2016,1690,1854, -   , -   , -   , -   ,1452,1593, -   , -   ,43,48,3222,3534,100%,sonar
9/14/2016,856,1034, -   , -   , -   , -   ,1400,1691, -   , -   ,26,31,2334,2819,100%,sonar
9/15/2016,1044,1293, -   , -   , -   , -   ,1374,1702, -   , -   ,110,136,2556,3166,100%,sonar
9/16/2016,1139,1311, -   , -   , -   , -   ,1203,1384, -   , -   ,190,219,2532,2914,99%,sonar
9/17/2016,1590,1377, -   , -   , -   , -   ,1129,978, -   , -   ,203,176,2922,2530,100%,sonar
9/18/2016,1201,1371, -   , -   , -   , -   ,853,974, -   , -   ,153,175,2208,2520,100%,sonar
9/19/2016,1601,1773, -   , -   , -   , -   ,747,827, -   , -   ,160,177,2508,2777,94%,sonar
9/20/2016,1178,1045, -   , -   , -   , -   ,1027,911, -   , -   ,146,130,2352,2085,84%,sonar
9/21/2016,469,632, -   , -   , -   , -   ,743,1000, -   , -   ,78,105,1290,1737,100%,sonar
9/22/2016,593,599, -   , -   , -   , -   ,656,664, -   , -   ,65,66,1314,1329,97%,sonar
9/23/2016,636,793, -   , -   , -   , -   ,500,623, -   , -   ,45,57,1182,1472,100%,sonar
