date,sockeye_10,sockeye_60,Chinook_10,Chinook_60,pink_10,pink_60,coho_10,coho_60,chum_10,chum_60,dolly-varden_10,dolly-varden_60,total_10,total_60,proportion_of_files_available,method
8/1/2018,4921,4685,6,5,24,12,6, -   , -   ,3,12,5,4969,4710,,weir
8/2/2018,2221,1972,1,3,13,17, -   , -   , -   ,1, -   ,3,2235,1996,,weir
8/3/2018,2611,2632,6,1,6,2, -   , -   ,6,1,6,6,2635,2642,,weir
8/4/2018,10205,8860, -   ,3,62,34, -   , -   , -   ,1,18,10,10285,8908,,weir
8/5/2018,5632,5798,6,5,24,11,6,2, -   ,1,30,10,5698,5827,,weir
8/6/2018,5625,5889, -   ,7,6,26, -   ,7,6,2,6,19,5643,5950,,weir
8/7/2018,4933,3704, -   ,3,18,10, -   ,6, -   ,2,6,16,4957,3741,,weir
8/8/2018,1837,1905, -   , -   ,6,4,1,6, -   ,5,12,7,1856,1927,,weir
8/9/2018,6243,7094, -   ,3,54,26, -   ,8, -   ,12,13,18,6310,7161,,weir
8/10/2018,1708,2902,12,7,12,9,25,33, -   ,5,12,7,1769,2963,,weir
8/11/2018,2249,2536,12,5,18,9,18,18, -   ,3, -   ,4,2297,2575,,weir
8/12/2018,730,686,7,2,32,26,12,8, -   , -   ,6,5,787,727,,weir
8/13/2018,3494,3262, -   ,4,24,9,37,41, -   ,4,6,2,3561,3322,,weir
8/14/2018,1486,1390, -   ,2, -   ,2,66,52, -   ,1, -   ,5,1552,1452,,weir
8/15/2018,2328,2386, -   ,1,18,33,84,126, -   , -   , -   ,4,2430,2550,,weir
8/16/2018,3397,3032, -   ,3,8,29,322,190, -   ,4, -   ,4,3727,3262,,weir
8/17/2018,542,867, -   , -   , -   ,2,36,10, -   ,1, -   ,1,578,881,,weir
8/18/2018,249,266, -   ,1,6, -   ,18,74, -   , -   , -   ,3,273,344,,weir
8/1/2018,6168,6717, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6168,6717,96%,sonar
8/2/2018,6324,5744, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6324,5744,97%,sonar
8/3/2018,4782,2786, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4782,2786,80%,sonar
8/4/2018,8058,10566, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8058,10566,100%,sonar
8/5/2018,5409,5418, -   , -   ,141,141, -   , -   , -   , -   , -   , -   ,5550,5559,100%,sonar
8/6/2018,6296,5706, -   , -   ,154,140, -   , -   , -   , -   , -   , -   ,6450,5846,100%,sonar
8/7/2018,3161,3633, -   , -   ,73,84, -   , -   , -   , -   , -   , -   ,3234,3717,100%,sonar
8/8/2018,2262,1798, -   , -   ,125,99,49,39, -   , -   , -   , -   ,2436,1936,100%,sonar
8/9/2018,6299,5975, -   , -   ,573,543,286,272, -   , -   , -   , -   ,7158,6790,100%,sonar
8/10/2018,2420,2544, -   , -   ,220,231,54,57, -   , -   , -   , -   ,2694,2832,100%,sonar
8/11/2018,3465,2496, -   , -   ,315,227, -   , -   , -   , -   , -   , -   ,3780,2723,100%,sonar
8/12/2018,867,1098, -   , -   ,25,31,14,18, -   , -   , -   , -   ,906,1147,90%,sonar
8/13/2018,4438,3915, -   , -   ,113,100,81,72, -   , -   , -   , -   ,4632,4087,100%,sonar
8/14/2018,2146,2527, -   , -   ,49,57,44,52, -   , -   , -   , -   ,2238,2636,100%,sonar
8/15/2018,2383,2527, -   , -   ,47,50,54,57, -   , -   , -   , -   ,2484,2634,100%,sonar
8/16/2018,5080,5126, -   , -   ,87,88,125,126, -   , -   , -   , -   ,5292,5340,100%,sonar
8/17/2018,1505,1761, -   , -   ,17,20,43,51, -   , -   , -   , -   ,1566,1832,100%,sonar
8/18/2018,594,805, -   , -   ,6,8,17,24, -   , -   , -   , -   ,618,837,100%,sonar
8/10/2017,1897,2372,6,8,564,993, -   ,2,6,4,12,9,2485,3388,,weir
8/11/2017,2430,2011,6,12,436,557,6,2,6,5, -   ,2,2884,2589,,weir
8/12/2017,2642,2668,12,11,329,477, -   ,6,6,5,12,8,3001,3175,,weir
8/13/2017,5342,5543, -   ,12,546,764,18,18,60,25,18,10,5984,6372,,weir
8/14/2017,4404,4277,12,13,696,835, -   ,7,6,10,24,17,5142,5159,,weir
8/15/2017,2520,2593,12,9,800,1147,6,8,6,9,30,22,3374,3788,,weir
8/16/2017,2418,2073,18,7,2072,2289,6,14, -   ,2,18,15,4532,4400,,weir
8/17/2017,3027,2711, -   ,6,3364,4945,12,19,6,5,10,12,6419,7698,,weir
8/18/2017,2828,2245,6,9,4131,4693,19,34, -   ,7,36,28,7020,7016,,weir
8/19/2017,2562,2328,1,4,4817,4725,54,44,6,3,12,10,7452,7114,,weir
8/20/2017,2529,2469,12,9,3707,6733,90,69,6,6,12,20,6356,9306,,weir
8/21/2017,2482,2107, -   ,2,9552,8675,48,73,12,13,18,10,12112,10880,,weir
8/22/2017,1560,1784, -   ,2,5887,6175,162,143,7,15,6,1,7622,8120,,weir
8/23/2017,1998,2290, -   ,3,1953,2478,270,223,30,16, -   ,2,4251,5012,,weir
8/24/2017,2610,2542, -   ,4,3362,4053,396,476,12,10,24,14,6404,7099,,weir
8/25/2017,834,900,1,2,4328,4891,336,372,7,15,1,4,5507,6184,,weir
8/26/2017,2616,2597,6,3,3514,4263,1301,1311,14,15,30,10,7481,8199,,weir
8/27/2017,2610,2215, -   ,6,1507,1739,695,622,12,16,24,12,4848,4610,,weir
8/28/2017,1894,1960, -   ,1,1499,1846,1024,742,18,23,6,4,4441,4576,,weir
8/29/2017,2812,2599, -   ,5,4525,6308,1662,1904,18,15,12,14,9029,10845,,weir
8/30/2017,2690,2289, -   ,2,9693,9948,4612,4509,13,13, -   ,13,17008,16774,,weir
8/31/2017,3257,2706, -   ,3,6050,6310,5308,4769,48,31,6,4,14669,13823,,weir
9/1/2017,2239,2511, -   , -   ,3166,3914,4845,4150,61,31,11,8,10322,10614,,weir
9/2/2017,2263,2089, -   ,2,9477,6919,3393,2586,18,21, -   ,5,15151,11622,,weir
9/3/2017,1405,1323, -   , -   ,14888,14656,4452,3680,18,6,12,8,20775,19673,,weir
9/4/2017,774,1025, -   , -   ,2549,2987,1539,1586,6,4,12,7,4880,5609,,weir
9/5/2017,1021,960, -   , -   ,1582,1680,1581,1588,12,8,6,14,4202,4250,,weir
9/6/2017,764,772, -   , -   ,2210,1961,1417,1407,6,8, -   ,17,4397,4165,,weir
8/10/2017,1290,1738, -   , -   ,1146,1545, -   , -   , -   , -   , -   , -   ,2436,3283,83%,sonar
8/11/2017,1614,1483, -   , -   ,1434,1318, -   , -   , -   , -   , -   , -   ,3048,2801,92%,sonar
